ID,SMILES,IC50_mean,Type
CHEMBL3890451,Cc1csc(C(=O)NCCCCCC(=O)Nc2ccccc2N)n1,0.129,1
CHEMBL3953948,Nc1ccccc1NC(=O)CCCCCNC(=O)c1ccc[nH]1,0.46,1
CHEMBL3233703,O=C(/C=C/c1ccc(OC[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccc(F)cc2)cc1)NO,0.0055,1
CHEMBL3899528,Nc1ccccc1NC(=O)CCCCCNC(=O)c1ccccc1OC(F)F,0.214,1
CHEMBL178456,O=C(CS)NCCCCCC(=O)Nc1cccc2cccnc12,1.32,0
CHEMBL3601778,Cc1ccc(Nc2nccc3ccc(NCc4ccc(/C=C/C(=O)NO)cc4)cc23)cc1,0.17648,1
CHEMBL463788,Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(CNc2ccncc2)cc1,6.39,0
CHEMBL3664022,Nc1ccc(F)cc1NC(=O)c1cnc2c(C3CC3)c(N3CCNCC3)ccc2c1,0.059000000000000004,1
CHEMBL1796689,CC(C)[C@H]1NC(=O)[C@]2(C)CSC(=N2)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCS)OC1=O,0.0016,1
CHEMBL3287265,CC(C)(O)Cc1sc(-c2nccs2)nc1C(=O)NCCCCC(=O)NO,2.3965,0
CHEMBL3968861,O=C(CCCCNC(=O)c1nc(-c2nc(-c3ccccc3)cs2)sc1C1CC1)NO,0.106,1
CHEMBL3655983,O=C(NO)c1cnc(NCc2cccnc2)nc1,0.174,1
CHEMBL4069885,CC(C)[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)NO)C1=O,0.6,1
CHEMBL3287254,CCCCc1sc(-c2nccs2)nc1C(=O)NCCCCC(=O)NO,0.18899999999999997,1
CHEMBL3975513,COCCn1c(C(=O)NCCCCCC(=O)Nc2ccccc2N)cc2ccccc21,0.14300000000000002,1
CHEMBL3664030,Nc1cc(F)ccc1NC(=O)c1cnc2cc(N3CCNCC3)ccc2c1,0.47,1
CHEMBL3655970,Cc1ccc(C2(Nc3ncc(C(=O)NO)cn3)CC2)cc1,0.157,1
CHEMBL455455,O=C(NCc1ccccc1)c1ccc(C(=O)C(F)(F)F)s1,0.52,1
